longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000,NEAR BAY
-122.01,37.53,19,4572,712,2346,709,6.0667,245700,NEAR BAY
-122.26,37.83,52,1665,419,946,395,2.0978,155400,NEAR BAY
-122.08,37.72,31,3866,531,1368,521,6.187,340400,NEAR BAY
-122.0,37.98,31,2030,337,867,341,5.0915,193200,INLAND
-121.6,39.8,10,1742,307,721,312,2.4537,117900,INLAND
-121.97,37.54,31,1949,344,986,322,4.6349,196200,<1H OCEAN
-121.92,37.47,26,2016,322,1105,357,6.0878,246900,<1H OCEAN
-119.92,36.77,18,1422,243,702,230,3.6204,119800,INLAND
-122.29,37.88,52,2159,424,824,388,3.8897,218400,NEAR BAY
-121.83,37.95,17,1133,244,716,235,2.875,162500,INLAND
-122.09,37.7,30,1751,269,731,263,6.005,263900,NEAR BAY
-122.42,37.93,47,3453,779,1353,728,4.016,274500,NEAR BAY
-122.3,37.87,52,3123,749,1695,684,2.2208,144800,NEAR BAY
-120.54,38.07,37,736,148,339,140,2.2875,79900,INLAND
-122.09,37.63,35,1213,221,790,243,4.7019,174100,NEAR BAY
-121.99,37.54,18,3584,715,1673,661,3.9444,240100,<1H OCEAN
-121.94,38.03,27,1654,478,1141,420,1.4871,87100,INLAND
-122.26,37.83,52,1470,330,689,309,3.48,191400,NEAR BAY
-121.86,38.04,52,242,59,188,54,1.3958,67500,INLAND
-121.92,37.74,8,452,51,140,43,12.5915,432400,<1H OCEAN
-122.18,37.79,46,2109,387,922,329,3.9712,208100,NEAR BAY
-122.06,37.89,21,4985,1590,2575,1458,3.1002,114300,NEAR BAY
-122.07,37.63,35,1931,376,1175,337,3.7292,168100,NEAR BAY
-119.44,36.59,32,1153,236,761,241,2.825,67600,INLAND
-121.96,37.84,29,7479,977,2744,943,7.5139,398200,INLAND
-122.15,37.69,36,1501,287,703,276,3.8864,197300,NEAR BAY
-119.79,36.78,38,1912,456,1131,408,2.03,58800,INLAND
-120.98,38.34,27,3471,653,1793,600,3.5508,99100,INLAND
-122.29,37.89,52,1571,349,693,326,3.1375,229100,NEAR BAY
-122.04,37.66,23,2419,348,1066,384,6.3501,350000,NEAR BAY
-122.16,37.73,52,2260,416,994,412,4.1164,198200,NEAR BAY
-121.62,39.5,18,2105,416,974,385,1.6346,63300,INLAND
-122.16,37.77,48,977,194,446,180,4.7708,156300,NEAR BAY
-119.77,36.76,43,1623,294,781,272,1.869,56000,INLAND
-121.82,38.01,50,1120,281,625,239,1.5988,96400,INLAND
-119.62,36.59,17,2287,390,1330,393,4.0197,88000,INLAND
-122.3,38.0,34,1712,317,956,341,4.4394,162000,NEAR BAY
-122.15,37.74,41,856,178,571,191,3.1458,130600,NEAR BAY
-122.04,37.62,35,899,179,455,185,4.2857,190400,NEAR BAY
-122.1,37.7,25,2973,622,1413,595,4.3819,209200,NEAR BAY
-122.09,37.71,35,2663,387,1086,367,5.1498,266400,NEAR BAY
-122.28,37.85,41,535,123,317,119,2.4038,107500,NEAR BAY
-122.3,37.9,38,2263,522,1027,509,3.5125,224200,NEAR BAY
-122.31,37.92,30,1014,236,537,204,2.8456,183300,NEAR BAY
-122.11,37.98,11,4371,679,1790,660,6.135,297300,NEAR BAY
-121.9,38.04,36,1489,331,838,259,1.2024,90200,INLAND
-122.27,37.85,52,335,83,152,77,2.2841,106300,NEAR BAY
-119.31,36.62,33,1485,374,1544,329,1.7292,52000,INLAND
-122.1,37.68,37,2116,503,1109,448,2.535,174000,NEAR BAY
-122.11,37.71,36,4569,824,1950,819,4.65,206800,NEAR BAY
-121.72,37.7,17,1671,352,729,252,6.1023,450000,INLAND
-122.18,37.76,49,2308,452,1299,451,1.8407,96700,NEAR BAY
-122.06,37.65,33,1227,286,848,291,3.8036,158200,NEAR BAY
-121.76,37.7,9,3980,736,1705,679,5.7068,256700,INLAND
-122.07,37.94,43,1454,234,683,258,4.475,265700,NEAR BAY
-122.28,37.87,49,2026,548,963,521,1.9805,173700,NEAR BAY
-119.55,36.7,31,1671,372,1371,347,2.3687,63900,INLAND
-119.6,36.57,42,2311,439,1347,436,2.5556,69700,INLAND
-122.31,38.01,18,4123,874,1895,772,3.2759,195000,NEAR BAY
-119.79,36.79,19,1524,448,960,386,1.5122,47500,INLAND
-119.69,36.75,13,2343,409,1347,405,4.0027,93100,INLAND
-122.15,37.69,36,1545,273,863,267,4.0109,192900,NEAR BAY
-122.2,37.96,9,6306,962,2581,911,6.7741,310700,NEAR BAY
-122.28,37.89,52,1225,169,412,168,5.7912,327100,NEAR BAY
-121.6,39.83,12,3744,699,1532,660,2.3079,95300,INLAND
-121.93,37.54,25,1354,192,596,220,6.629,352400,<1H OCEAN
-121.98,37.95,16,2984,406,1317,397,6.7821,265900,INLAND
-122.28,37.8,52,96,31,191,34,0.75,162500,NEAR BAY
-120.27,38.31,13,3297,662,267,97,3.075,108300,INLAND
-122.14,37.7,36,1266,228,606,239,3.9702,194100,NEAR BAY
-122.18,37.9,36,4760,610,1511,572,9.0064,500001,NEAR BAY
-121.92,38.02,8,2750,479,1526,484,5.102,156500,INLAND
-122.11,37.69,37,2444,651,1562,618,2.6464,155200,NEAR BAY
-121.99,37.81,17,465,83,146,75,4.9018,188500,<1H OCEAN
-121.99,37.58,31,2878,478,1276,485,6.2073,282500,<1H OCEAN
-122.23,37.76,52,3037,516,1242,518,5.2128,289900,NEAR BAY
-122.03,37.54,16,4458,856,3038,870,5.0739,208000,NEAR BAY
-122.08,37.68,26,2607,682,1401,607,2.6563,184100,NEAR BAY
-122.05,37.68,23,7518,1279,3827,1294,5.1701,216800,NEAR BAY
-122.04,37.5,17,407,97,307,100,3.1696,156300,NEAR BAY
-119.52,36.71,21,1834,321,1120,314,2.59,69300,INLAND
-120.8,38.51,23,1001,195,369,157,3.125,96400,INLAND
-124.23,41.75,11,3159,616,1343,479,2.4805,73200,NEAR OCEAN
-122.16,37.73,49,1699,408,768,385,2.8301,171600,NEAR BAY
-119.89,36.64,34,1422,237,716,222,2.975,90000,INLAND
-122.25,37.82,32,3809,1098,1806,1022,2.6429,218500,NEAR BAY
-122.25,37.81,52,2155,701,895,613,2.5795,350000,NEAR BAY
-122.26,37.77,52,1210,168,411,172,3.3571,405400,NEAR BAY
-122.29,37.91,38,2591,424,905,378,5.1691,263200,NEAR BAY
-122.13,39.0,23,3832,774,2435,747,2.2754,59200,INLAND
-121.89,38.01,32,1000,188,663,212,4.0972,99200,INLAND
-122.26,37.81,29,335,107,202,91,2.0062,125000,NEAR BAY
-121.92,37.96,14,5332,884,2093,839,5.2798,237400,INLAND
-121.94,37.93,16,3421,427,1341,428,7.5695,320400,INLAND
-120.25,36.65,31,1177,221,744,223,2.4937,66000,INLAND
-122.12,37.64,40,432,102,264,77,3.8875,228100,NEAR BAY
-122.35,37.93,41,268,75,198,82,3.2222,156300,NEAR BAY
-122.26,37.77,52,1704,371,663,340,4.226,275000,NEAR BAY
-122.13,38.02,52,2378,508,940,451,2.9583,166000,NEAR BAY
-122.25,37.8,41,1471,469,1062,413,1.6121,171400,NEAR BAY
-122.26,37.83,52,1443,311,660,292,3.0125,184400,NEAR BAY
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500,NEAR BAY
-122.06,37.6,22,3009,497,1640,514,4.625,235300,NEAR BAY
-120.76,38.12,7,7188,1288,3175,1115,3.8488,130600,INLAND
-121.99,37.82,22,1248,271,579,269,3.375,200000,<1H OCEAN
-122.17,37.77,31,2424,533,1360,452,1.871,90700,NEAR BAY
-122.32,37.95,36,1425,245,573,239,4.35,185000,NEAR BAY
-119.74,36.77,30,2427,482,1375,518,2.5737,76900,INLAND
-119.78,36.76,50,1343,322,1063,342,1.75,49800,INLAND
-120.01,38.91,27,968,191,283,143,2.0938,94400,INLAND
-122.27,37.81,10,875,348,546,330,0.76,162500,NEAR BAY
-122.28,37.82,52,1170,235,701,233,1.6098,87500,NEAR BAY
-122.14,37.74,52,1071,201,440,192,4.0662,204200,NEAR BAY
-122.26,37.83,52,2432,715,1377,696,2.5898,176000,NEAR BAY
-120.65,38.28,21,3095,681,1341,546,2.1382,104000,INLAND
-122.25,37.86,52,4048,663,1316,590,5.3794,376900,NEAR BAY
-119.81,36.79,35,2314,443,954,457,2.9506,73800,INLAND
-122.26,38.04,41,2512,539,1179,480,2.694,123000,NEAR BAY
-122.31,37.93,36,1526,256,696,263,3.5089,261900,NEAR BAY
-122.18,37.76,50,1187,261,907,246,1.9479,89500,NEAR BAY
-122.13,37.71,44,1613,339,776,346,3.1103,188900,NEAR BAY
-122.1,37.69,30,3115,625,1444,568,3.7222,195800,NEAR BAY
-119.88,36.81,30,2288,474,1435,425,1.3221,61200,INLAND
-122.28,38.0,26,2335,413,980,417,3.4471,178900,NEAR BAY
-119.33,36.89,15,1879,411,755,294,2.0,83300,INLAND
-122.08,37.64,30,5267,1253,4065,1113,3.3479,182100,NEAR BAY
-122.28,37.86,52,3007,691,1582,636,2.5652,157700,NEAR BAY
-122.1,37.68,31,1892,428,1162,389,3.125,167100,NEAR BAY
-120.46,38.09,16,3758,715,1777,615,3.0,122600,INLAND
-122.03,37.61,37,1383,259,808,241,4.0125,161400,NEAR BAY
-122.19,37.77,52,2329,445,1144,417,3.5114,151200,NEAR BAY
-121.83,37.99,23,1150,174,572,174,4.9167,152400,INLAND
-122.22,37.78,44,1678,514,1700,495,2.0801,131900,NEAR BAY
-122.16,38.02,40,1800,290,761,277,5.1265,196100,NEAR BAY
-120.38,36.15,17,2279,448,1200,420,2.7461,70000,INLAND
-121.61,39.76,31,2431,512,1026,427,2.5428,85000,INLAND
-121.78,37.69,34,2358,498,1157,461,3.3618,174600,INLAND
-122.06,37.67,22,3882,816,1830,743,4.2733,180700,NEAR BAY
-122.09,37.7,31,2053,336,867,329,4.3375,241800,NEAR BAY
-120.92,38.86,11,1720,345,850,326,3.2027,128600,INLAND
-121.6,39.68,15,1677,345,844,330,2.3958,111200,INLAND
-122.11,37.67,36,2110,389,952,370,3.8,187500,NEAR BAY
-122.08,37.6,10,3046,678,2056,628,3.9022,191700,NEAR BAY
-122.19,37.76,52,2024,391,1030,350,2.4659,94700,NEAR BAY
-122.13,37.68,44,2147,399,1175,401,4.1974,179300,NEAR BAY
-121.81,39.7,21,5051,1054,2948,980,1.5863,81300,INLAND
-119.77,36.8,24,3748,770,1827,719,2.7222,83100,INLAND
-119.79,36.75,33,3161,934,3530,846,1.123,46700,INLAND
-121.78,37.69,35,2853,588,1761,572,4.3533,168400,INLAND
-122.24,37.85,52,3726,474,1366,496,9.3959,500001,NEAR BAY
-119.78,36.75,31,1404,379,1515,387,1.2813,56400,INLAND
-122.08,39.25,52,224,38,120,45,3.017,112500,INLAND
-120.9,38.2,16,3120,641,1319,526,2.0472,93200,INLAND
-122.25,38.05,30,1255,297,779,307,1.6767,147700,NEAR BAY
-119.92,38.91,15,3831,625,984,328,5.0718,162500,INLAND
-119.79,36.79,26,1700,423,909,386,2.256,64500,INLAND
-122.03,37.98,44,1254,252,498,217,3.4531,148900,NEAR BAY
-121.64,39.74,20,1808,334,763,335,2.3711,121800,INLAND
-122.0,37.98,36,404,77,237,88,4.525,161300,INLAND
-119.75,36.73,39,2290,539,1685,536,1.6325,52100,INLAND
-122.02,37.8,11,6200,907,2286,896,7.6518,359300,NEAR BAY
-121.59,39.82,12,1958,369,875,354,2.3507,97600,INLAND
-121.96,37.95,13,3216,765,1627,715,3.0859,167800,INLAND
-119.96,38.94,27,1492,393,717,254,1.8906,104200,INLAND
-121.65,38.03,28,3144,694,1095,482,3.4402,192400,INLAND
-119.81,36.51,31,1241,254,767,226,2.7321,83600,INLAND
-122.17,37.74,43,818,193,494,179,2.4776,101600,NEAR BAY
-121.77,38.01,13,2983,534,1417,510,3.9861,168100,INLAND
-122.18,37.81,30,292,38,126,52,6.3624,483300,NEAR BAY
-121.52,39.43,15,2119,389,1079,374,2.3566,80400,INLAND
-121.75,37.71,11,12070,2220,5826,2125,4.8624,192400,INLAND
-122.1,37.96,20,3796,650,1679,611,4.3571,228200,NEAR BAY
-122.17,37.75,41,1257,271,828,230,2.5043,92300,NEAR BAY
-121.55,39.44,31,1434,283,811,289,1.7727,49000,INLAND
-122.29,37.82,2,158,43,94,57,2.5625,60000,NEAR BAY
-121.53,39.44,26,1340,255,662,239,2.6071,57100,INLAND
-122.24,37.84,52,3529,574,1177,555,5.1773,389500,NEAR BAY
-121.93,37.89,13,2085,292,852,264,7.3445,366700,INLAND
-122.24,37.8,52,1586,398,1006,335,2.1348,140600,NEAR BAY
-122.2,37.77,41,1547,415,1024,341,2.0562,102000,NEAR BAY
-120.84,38.73,17,2616,492,1158,457,2.8807,142600,INLAND
-121.99,37.55,16,6647,2098,4649,1903,2.9074,213800,<1H OCEAN
-122.24,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-119.55,36.51,46,1889,390,971,403,2.2132,76600,INLAND
-122.09,37.63,36,1570,274,992,249,5.3644,168800,NEAR BAY
-122.17,37.75,37,1379,287,835,259,2.4962,91800,NEAR BAY
-121.61,39.77,25,1612,313,837,303,2.963,89500,INLAND
-122.05,37.93,5,4274,1153,1503,881,4.0473,266500,NEAR BAY
-122.26,37.82,37,3633,1085,1838,980,2.6104,193100,NEAR BAY
-121.97,37.51,25,3333,511,1671,504,5.4359,258300,<1H OCEAN
-122.2,39.75,18,2603,576,1616,588,2.0192,63700,INLAND
-122.36,37.94,26,1540,343,1007,338,1.3365,72900,NEAR BAY
-121.9,38.0,14,1930,363,990,322,4.1094,162200,INLAND
-119.97,38.93,24,856,185,388,108,3.1806,107200,INLAND
-122.28,37.81,52,386,164,346,155,0.8075,137500,NEAR BAY
-122.23,37.76,52,1705,246,658,253,5.75,306300,NEAR BAY
-122.01,37.93,25,2652,335,1062,334,7.5898,330200,NEAR BAY
-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000,NEAR BAY
-121.51,39.97,22,1468,285,611,235,2.3036,73000,INLAND
-122.26,37.78,52,970,217,528,208,3.3438,201300,NEAR BAY
-122.13,37.77,24,2459,317,916,324,7.0712,293000,NEAR BAY
-121.83,37.99,23,1970,296,935,279,4.4853,145900,INLAND
-122.3,37.97,34,2854,528,1211,452,3.5353,164700,NEAR BAY
-119.85,36.82,9,3995,778,1691,712,3.3239,91300,INLAND
-122.12,37.69,35,2681,508,1580,536,4.1042,179100,NEAR BAY
-122.08,37.61,6,2605,474,1568,433,5.0406,261400,NEAR BAY
-121.84,39.72,52,1457,389,802,342,0.9566,69000,INLAND
-121.73,38.0,3,9217,1522,3578,1272,5.0016,189100,INLAND
-122.09,37.63,34,1457,242,735,249,3.9167,189500,NEAR BAY
-120.56,38.09,34,2745,559,1150,491,2.3654,94900,INLAND
-122.2,37.8,43,3045,499,1115,455,4.9559,273000,NEAR BAY
-122.24,37.76,49,2428,525,1110,492,3.6719,229800,NEAR BAY
-122.22,37.78,51,1637,463,1543,393,2.489,119100,NEAR BAY
-119.63,36.7,42,1338,215,617,222,3.0833,133300,INLAND
-122.08,37.67,29,493,168,233,152,0.9637,160000,NEAR BAY
-122.02,37.99,37,2247,416,1237,397,4.45,161900,NEAR BAY
-119.81,36.76,52,1792,352,1049,357,2.4375,57100,INLAND
-119.74,36.79,28,2857,619,1614,592,2.1573,71400,INLAND
-121.72,37.98,5,7105,1143,3523,1088,5.0468,168800,INLAND
-119.83,36.79,35,1872,363,1054,369,3.3272,65600,INLAND
-121.94,38.02,29,5765,1170,3266,1131,2.7907,113900,INLAND
-122.03,37.61,36,1409,271,1002,281,3.7262,164900,NEAR BAY
-119.98,38.93,25,1262,293,534,226,2.6607,90400,INLAND
-119.74,36.78,27,4049,947,2254,882,2.2467,70700,INLAND
-122.23,37.8,52,783,184,488,186,1.9375,126600,NEAR BAY
-124.16,41.92,19,1668,324,841,283,2.1336,75000,NEAR OCEAN
-122.04,37.96,28,1207,252,724,252,3.6964,165700,NEAR BAY
-119.52,36.61,33,1225,275,1065,248,1.8958,55100,INLAND
-119.69,36.74,23,2097,385,911,405,3.5128,121600,INLAND
-122.22,37.84,50,2935,473,1031,479,7.5,295200,NEAR BAY
-119.99,36.8,45,1270,242,598,214,3.2813,105400,INLAND
-122.01,37.97,34,3259,498,1250,478,5.3794,206200,NEAR BAY
-122.19,37.76,38,1493,370,1144,351,0.7683,81800,NEAR BAY
-122.03,37.94,21,5541,776,2214,737,5.5777,279300,NEAR BAY
-122.18,37.68,5,2087,407,840,401,5.4858,187800,NEAR BAY
-119.76,36.82,17,6932,1486,3056,1453,2.3375,99300,INLAND
-121.62,39.76,14,2063,559,934,529,1.7788,85800,INLAND
-119.8,36.73,45,925,231,797,228,1.7011,44800,INLAND
-122.18,37.86,33,4449,636,1684,617,8.9571,399700,NEAR BAY
-119.83,36.8,16,6101,1200,3407,1134,3.125,80800,INLAND
-119.79,36.84,22,1529,375,1543,395,1.7926,51700,INLAND
-121.79,37.69,25,6296,1082,3200,1047,4.5357,188400,INLAND
-122.23,37.76,52,2269,323,805,321,4.7188,335300,NEAR BAY
-122.16,37.77,45,2324,397,968,384,3.5739,176000,NEAR BAY
-122.18,37.78,50,1642,322,713,284,3.2984,160700,NEAR BAY
-122.21,37.78,52,1477,300,1065,269,1.8472,137000,NEAR BAY
-119.76,36.75,41,1576,417,1567,366,1.2545,45500,INLAND
-122.19,37.71,36,361,69,158,58,5.5461,262500,NEAR BAY
-121.92,38.01,7,1632,248,879,262,6.1237,166000,INLAND
-122.08,37.68,37,848,202,314,205,2.3958,190800,NEAR BAY
-122.04,37.54,26,2145,369,1285,377,4.9464,223800,NEAR BAY
-119.97,36.44,18,1128,237,772,220,2.1771,39200,INLAND
-122.35,37.96,36,2191,531,1563,524,2.5164,114200,NEAR BAY
-119.43,36.59,15,1371,306,1266,309,1.767,63300,INLAND
-119.8,36.72,15,1908,417,1383,375,1.0472,57800,INLAND
-121.69,37.95,15,1850,441,1348,403,3.8125,125400,INLAND
-119.55,36.61,14,3004,793,3535,735,1.586,56900,INLAND
-122.17,37.72,42,3008,659,1817,664,3.371,165000,NEAR BAY
-119.61,36.58,29,1312,280,788,271,2.6974,73000,INLAND
-122.51,39.3,19,1629,386,551,214,1.7463,68800,INLAND
-119.81,36.78,52,2281,371,839,367,3.5972,89900,INLAND
-121.87,39.82,11,5103,825,2456,810,4.5032,159700,INLAND
-121.93,37.66,24,3166,424,1081,400,8.3337,500001,<1H OCEAN
-121.79,39.73,8,5690,1189,2887,1077,3.0625,116300,INLAND
-121.73,37.68,17,20354,3493,8768,3293,5.4496,238900,INLAND
-121.88,37.68,23,2234,270,854,286,7.333,337200,INLAND
-122.29,37.81,46,2801,644,1823,611,0.9802,129200,NEAR BAY
-121.84,39.68,38,549,105,275,94,3.5375,153100,INLAND
-119.73,36.83,14,3348,491,1584,493,5.0828,111400,INLAND
-119.59,36.52,35,990,192,674,178,3.3214,101600,INLAND
-122.26,37.86,52,3774,744,1461,679,2.9405,289500,NEAR BAY
-121.52,39.49,30,1217,238,677,233,2.6563,63600,INLAND
-119.76,36.77,38,3804,814,2142,816,2.1439,60200,INLAND
-122.05,37.68,32,2015,318,1019,340,6.1104,240700,NEAR BAY
-122.25,37.74,25,1914,365,897,390,4.4562,206200,NEAR BAY
-122.3,37.81,48,828,182,392,133,2.5938,73500,NEAR BAY
-119.85,36.78,8,3096,684,1454,545,2.7857,79700,INLAND
-119.79,36.76,52,2408,498,1361,465,2.1055,61300,INLAND
-121.55,39.5,26,3215,827,2041,737,1.0585,45100,INLAND
-121.92,38.03,16,2176,464,1410,434,3.5436,100200,INLAND
-119.77,36.74,51,1454,235,729,252,3.3125,70100,INLAND
-122.3,37.9,35,1102,308,688,303,2.3946,141700,NEAR BAY
-119.81,36.83,10,5780,922,2712,883,5.6445,135500,INLAND
-122.25,37.77,52,859,157,429,158,4.3098,197900,NEAR BAY
-120.37,36.16,36,613,124,310,124,3.0658,65000,INLAND
-119.79,36.72,19,1719,391,1369,368,1.25,53000,INLAND
-122.27,37.88,52,3360,648,1232,621,4.2813,284900,NEAR BAY
-120.87,38.37,28,3998,765,1614,698,2.8125,113400,INLAND
-122.08,37.7,32,2718,447,1156,410,5.2497,259300,NEAR BAY
-122.27,37.85,47,1375,307,843,319,1.3785,142300,NEAR BAY
-121.98,38.05,31,2810,518,1640,503,3.3661,98500,INLAND
-122.27,37.79,27,1055,347,718,302,2.6354,187500,NEAR BAY
-121.56,39.52,9,818,197,358,197,1.7708,79500,INLAND
-120.88,38.58,8,3417,604,1703,623,4.0827,170700,INLAND
-121.82,38.01,47,1265,254,587,247,2.6364,93500,INLAND
-122.13,38.01,51,1262,309,608,298,2.1974,139300,NEAR BAY
-122.15,37.7,36,1468,252,733,229,3.4583,192600,NEAR BAY
-121.87,39.74,7,1737,290,747,265,3.9,147000,INLAND
-119.39,36.64,38,949,190,578,187,2.3618,80000,INLAND
-122.06,37.7,37,1893,310,821,315,4.6005,231600,NEAR BAY
-122.25,37.86,48,2153,517,1656,459,3.0417,489600,NEAR BAY
-121.6,39.79,18,2672,533,1151,532,2.567,102900,INLAND
-119.76,36.83,22,2803,438,1234,457,4.5179,99600,INLAND
-119.82,36.84,7,2289,342,1077,354,5.4868,158800,INLAND
-122.07,37.58,16,1893,338,1461,344,5.225,213700,NEAR BAY
-122.07,37.66,21,5031,1168,2461,1042,3.875,179300,NEAR BAY
-121.92,37.53,7,28258,3864,12203,3701,8.4045,451100,<1H OCEAN
-122.22,37.81,52,2024,339,756,340,4.072,270100,NEAR BAY
-122.29,37.89,52,2248,422,870,377,3.4732,246200,NEAR BAY
-122.28,37.84,50,2082,492,1131,473,1.6424,108900,NEAR BAY
-122.29,37.88,52,1650,395,841,380,3.556,179300,NEAR BAY
-122.28,37.82,52,1238,288,622,259,1.5057,87500,NEAR BAY
-122.31,37.91,39,2955,696,1417,682,2.7628,167800,NEAR BAY
-121.89,38.02,36,2707,550,1827,545,3.3371,94600,INLAND
-122.13,37.72,35,2183,383,976,392,3.8393,243500,NEAR BAY
-122.02,37.89,29,6349,858,2450,778,7.5,356200,NEAR BAY
-119.34,37.12,23,1881,380,64,37,3.875,125000,INLAND
-122.28,37.87,46,3022,696,1293,675,2.543,220700,NEAR BAY
-122.08,37.63,33,691,127,431,149,4.25,192600,NEAR BAY
-119.68,36.63,39,1237,256,638,239,3.0139,65300,INLAND
-122.04,37.99,38,2675,541,1378,480,3.8897,139900,NEAR BAY
-121.67,39.37,27,2599,502,1241,502,1.9943,86300,INLAND
-122.33,37.94,43,1876,389,807,377,3.1571,141600,NEAR BAY
-122.16,37.69,36,1480,278,796,283,4.3971,205700,NEAR BAY
-122.04,37.59,14,1727,302,1116,273,5.3428,243600,NEAR BAY
-122.11,37.64,8,3592,849,1907,746,3.6708,197900,NEAR BAY
-122.05,37.9,32,2676,484,986,473,4.6528,335700,NEAR BAY
-122.06,37.88,34,4781,703,1879,714,6.5378,340900,NEAR BAY
-122.03,37.54,35,1867,343,1213,338,4.8214,186000,NEAR BAY
-122.27,37.87,35,3218,1108,1675,1000,1.7464,216700,NEAR BAY
-122.3,37.87,10,503,118,228,100,2.1705,150000,NEAR BAY
-122.23,38.05,52,1736,358,638,297,2.5517,147100,NEAR BAY
-119.73,36.77,24,4410,939,2362,862,2.9406,73000,INLAND
-121.6,37.9,5,14684,2252,4276,1722,6.9051,340900,INLAND
-121.82,39.73,33,2242,517,1160,449,1.7426,60300,INLAND
-122.07,37.71,36,2879,480,1235,455,4.9801,241500,NEAR BAY
-119.77,36.8,32,3461,665,1507,649,2.9244,84600,INLAND
-119.93,38.72,15,2061,465,573,196,2.2417,97900,INLAND
-119.85,36.43,23,1824,354,1146,362,2.8913,60900,INLAND
-119.57,36.7,30,2370,412,1248,410,3.1442,72300,INLAND
-122.26,37.81,34,5871,1914,2689,1789,2.8406,335700,NEAR BAY
-121.99,37.83,16,2939,380,1177,396,8.0839,372000,<1H OCEAN
-121.97,37.53,35,2277,420,1353,413,4.75,197000,<1H OCEAN
-121.98,37.74,8,2865,389,1376,417,7.9393,399300,<1H OCEAN
-122.2,37.8,52,1547,293,706,268,4.7721,217100,NEAR BAY
-122.27,37.85,52,4076,920,1800,815,2.7054,182300,NEAR BAY
-119.88,36.85,8,2580,372,1111,393,7.5,256200,INLAND
-122.3,37.89,46,1520,402,815,375,2.8036,211600,NEAR BAY
-122.23,37.82,52,3242,366,1001,352,12.2138,500001,NEAR BAY
-122.23,37.78,52,862,215,994,213,3.0257,80800,NEAR BAY
-120.87,38.71,13,2692,470,1302,420,4.0,167400,INLAND
-122.28,37.81,52,773,143,377,115,2.4083,98200,NEAR BAY
-121.85,39.73,52,444,80,1107,98,3.4191,137500,INLAND
-122.31,37.92,43,2116,407,900,361,4.1587,212200,NEAR BAY
-122.23,37.85,52,2800,411,1061,403,6.3434,373600,NEAR BAY
-121.81,39.71,18,1222,250,708,281,2.0288,116700,INLAND
-122.04,37.99,32,1504,279,749,267,3.2,134500,NEAR BAY
-122.18,37.75,43,1036,233,652,213,2.069,84600,NEAR BAY
-119.94,38.92,24,1258,216,235,96,4.6,136800,INLAND
-119.77,36.81,25,1565,271,661,275,3.4279,84700,INLAND
-122.33,37.89,42,1342,291,551,266,4.5268,207400,NEAR BAY
-120.99,38.67,8,4913,744,2005,723,5.4413,187900,INLAND
-121.91,37.93,13,1610,198,703,217,8.7059,329400,INLAND
-121.94,37.75,16,5121,735,2464,761,6.6204,296100,<1H OCEAN
-119.71,36.81,19,1648,368,557,354,1.7969,72800,INLAND
-119.72,36.81,28,1651,305,780,309,2.9453,72200,INLAND
-121.84,37.66,13,13182,2074,4847,1950,5.6417,352900,INLAND
-124.19,41.78,15,3140,714,1645,640,1.6654,74600,NEAR OCEAN
-122.24,37.76,52,1846,471,827,446,2.6833,240900,NEAR BAY
-122.25,37.83,52,1279,287,534,291,3.1429,231600,NEAR BAY
-121.63,38.04,25,2019,411,888,326,3.2619,183800,INLAND
-122.25,37.8,29,2468,864,1335,773,1.3929,193800,NEAR BAY
-119.79,36.73,52,112,28,193,40,1.975,47500,INLAND
-122.13,37.72,25,1134,153,340,171,6.5095,371200,NEAR BAY
-120.99,38.69,5,5743,1074,2651,962,4.1163,172500,INLAND
-120.79,38.54,34,1133,254,495,187,2.05,68900,INLAND
-120.93,38.26,13,2084,449,834,305,3.2937,114200,INLAND
-119.78,36.75,43,2070,512,1925,444,1.4635,46600,INLAND
-120.69,36.84,18,902,195,771,174,2.2083,55000,INLAND
-122.17,37.77,30,3326,746,1704,703,2.875,135300,NEAR BAY
-122.13,37.71,44,1421,298,609,270,3.5781,180000,NEAR BAY
-122.0,37.98,32,1013,169,436,173,5.1118,226900,INLAND
-122.24,37.85,37,334,54,98,47,4.9643,335000,NEAR BAY
-122.03,37.55,26,3087,532,1597,483,4.9118,217300,NEAR BAY
-122.2,37.83,26,1589,223,542,211,8.401,351200,NEAR BAY
-121.59,39.75,20,908,206,481,211,2.2,80800,INLAND
-121.99,37.56,18,5505,1005,2641,971,5.0,269700,<1H OCEAN
-122.33,37.98,3,2850,544,1024,515,6.0115,175000,NEAR BAY
-122.08,37.66,33,1547,372,1063,356,2.5625,154300,NEAR BAY
-119.76,36.79,26,3654,837,1976,830,2.1544,72800,INLAND
-119.65,36.51,30,1671,319,966,282,3.1333,100000,INLAND
-121.96,37.54,14,5106,1207,2738,1108,3.9909,236000,<1H OCEAN
-121.89,37.67,19,2034,288,852,295,6.5285,300400,INLAND
-122.29,37.9,52,1604,263,594,286,5.338,270900,NEAR BAY
-122.12,37.7,19,2495,635,1571,579,2.5833,159900,NEAR BAY
-122.06,37.64,33,1160,252,729,220,3.8259,146100,NEAR BAY
